ID,price,bedroom,bathroom,house_type,air_conditioning,status,parking,heating fuel,basement,lawn,attic,refrigerator,dishwasher,microwave,fireplace,porch,washer,dryer,lot_size,built_in,mls_id,zip,floors,roof,patio,vaulted_ceiling,new_construction,skylight,pool,jetted_bath,security_system,architecture,garbage_disposal,double_pan_windows,exterior,view,rooms,heating,area,other,street,deck,garden,heating_fuel,ceiling_fan
1,212500,3,2,condo,FALSE,for sale,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,3484,2011,565750,22801,concrete,metal,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,contemporary,FALSE,FALSE,,,,,1436,,Norwood St,TRUE,FALSE,,FALSE
2,339000,4,3,single-family home,TRUE,for sale by owner,2,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.27,2012,,,"hardwood, tile",shake shingle,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,colonial,FALSE,FALSE,vinyl siding,mountain,8,,2620,barbeque area,Rachel Dr,TRUE,TRUE,electric,TRUE
3,269900,4,3,single-family home,TRUE,for sale,other,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.3,1965,565645,22802,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,3899,,Rockingham Dr,FALSE,FALSE,gas,FALSE
4,115000,4,2,condo,TRUE,for sale,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,6534,1989,565636,22801,"carpet, laminate, linoleumvinyl",composition,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,1352,,Bradley Dr,TRUE,FALSE,,FALSE
5,249900,5,3,single-family home,TRUE,for sale,other,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.51,1974,565497,22802,linoleumvinyl,composition,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,,,,,2741,,Mount Clinton Pike,TRUE,FALSE,,FALSE
6,209900,3,2,single-family home,FALSE,for sale,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.3,1979,565495,22801,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,1598,,East Ct,FALSE,FALSE,,FALSE
7,179000,3,2,townhouse,FALSE,for sale,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8712,1990,565392,22802,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,1856,,Goldfinch Dr,FALSE,FALSE,,FALSE
8,359800,3,2,single-family home,TRUE,for sale,other,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,4.7,1967,565597,22844,"hardwood, linoleumvinyl, tile",composition,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,3850,,Craney Island Rd,TRUE,TRUE,,FALSE
9,259000,3,2,single-family home,TRUE,for sale,carport,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.43,1961,565635,22802,"hardwood, laminate, linoleumvinyl, tile",composition,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,,,,,2614,,Windy Heights Ln,FALSE,FALSE,,FALSE
10,174500,2,2,condo,TRUE,for sale,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4791,1997,565629,22801,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,1632,,Diana Ct,FALSE,FALSE,,FALSE
11,469990,4,3,single-family home,TRUE,for sale,other,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0.41,1986,565571,22801,"hardwood, tile",,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,4486,,Arrowhead Rd,TRUE,TRUE,,FALSE
12,209900,,,multi-family,FALSE,for sale,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8712,1932,565709,22815,,metal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,1925,,114 North Central St,FALSE,FALSE,gas,FALSE
13,259000,4,3,single-family home,TRUE,for sale,carport,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0.43,1966,565572,22801,"carpet, hardwood, laminate",composition,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,2236,,Nelson Dr,TRUE,FALSE,,FALSE
14,159900,3,2,condo,FALSE,for sale,,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,2613,2006,565522,22802,"carpet, laminate, linoleumvinyl, tile",composition,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,1408,,Founders Way,TRUE,FALSE,,FALSE
15,229000,3,2,single-family home,TRUE,for sale,other,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1981,565507,22801,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,1670,,Lakeview Cir,FALSE,FALSE,,FALSE
16,235000,3,2,single-family home,FALSE,pending,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.5,1997,565510,22801,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,1689,,Boyers Rd,FALSE,FALSE,,FALSE
17,163000,2,2,townhouse,FALSE,for sale,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2017,565585,22802,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,1422,,Cedar Point Ln,FALSE,FALSE,,FALSE
18,163000,3,2,townhouse,FALSE,for sale,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2017,565582,22802,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,1422,,Cedar Point Ln,FALSE,FALSE,,FALSE
19,163000,3,2,townhouse,FALSE,for sale,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2017,565587,22802,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,1422,,Cedar Point Ln,FALSE,FALSE,,FALSE
20,163000,2,2,townhouse,FALSE,for sale,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2017,565588,22802,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,1422,,Cedar Point Ln,FALSE,FALSE,,FALSE
21,166000,3,2,townhouse,FALSE,for sale,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4356,2017,565589,22802,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,1422,,Cedar Point Ln,FALSE,FALSE,,FALSE
22,166000,3,2,townhouse,FALSE,for sale,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4356,2017,565579,22802,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,1422,,Cedar Point Ln,FALSE,FALSE,,FALSE
23,152500,2,1,condo,FALSE,for sale,other,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,0.29,2006,565595,22840,"carpet, linoleumvinyl",composition,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,1120,,S Mountain Dr,TRUE,FALSE,,FALSE
24,163000,3,2,townhouse,FALSE,for sale,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2017,565584,22802,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,1422,,Cedar Point Ln,FALSE,FALSE,,FALSE
25,163000,3,2,townhouse,FALSE,for sale,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2017,565583,22802,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,1422,,Cedar Point Ln,FALSE,FALSE,,FALSE
26,163000,3,2,townhouse,FALSE,for sale,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2017,565586,22802,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,1422,,Cedar Point Ln,FALSE,FALSE,,FALSE
27,145000,3,3,townhouse,TRUE,for sale by owner,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4613,2002,,,"carpet, linoleum",composition shingle,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,brick,,8,,1320,,Emerson Ln,TRUE,FALSE,electric,FALSE
28,109900,2,1,single-family home,FALSE,for sale,1,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,1954,564786,22802,"hardwood, linoleumvinyl",metal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ranchrambler,FALSE,FALSE,,mountain,,,759,,Kratzer Rd,TRUE,FALSE,,FALSE
29,332000,5,2,single-family home,TRUE,for sale,2,,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0.5,,564115,22801,,metal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,3257,,Hillandale Ave,TRUE,FALSE,,FALSE
30,37999,3,2,single-family home,FALSE,pending,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.4,1947,564478,22840,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,bungalow,FALSE,FALSE,,,,,1637,,Grasshopper Ln,FALSE,FALSE,,FALSE
31,239900,3,2,single-family home,TRUE,pending,other,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.27,1952,565332,22801,"carpet, hardwood, linoleumvinyl, tile",composition,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,2985,,S Willow St,FALSE,TRUE,,FALSE
32,219500,3,2,single-family home,TRUE,pending,,,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0.39,1962,563939,22801,"carpet, hardwood, linoleumvinyl",composition,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,2268,,Edgewood Rd,TRUE,FALSE,,FALSE
33,289900,5,3,single-family home,FALSE,for sale,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.4,1971,563704,22801,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,3222,,Central Ave,FALSE,FALSE,,FALSE
