ID,price,bedroom,bathroom,house_type,lot_size,built_in,area,days,views,hoa
991,169900,4,4,condo,0,2008,1396,4,3,243
992,79900,2,2,condo,0,1986,1012,77,561,250
993,229900,3,2,single-family home,10018,2002,1541,77,1357,0
994,149900,4,2,single-family home,8712,1975,1810,5,1282,0
995,229900,3,2,single-family home,13504,1988,1456,76,947,0
996,359000,5,4,single-family home,10130,1997,2903,79,951,0
997,164900,2,3,condo,0,1995,1800,54,342,21
998,218000,,,multi-family,10454,1979,2000,20,1178,0
999,394000,3,2,single-family home,18295,2001,2616,73,709,0
1000,349900,3,2,single-family home,204732,1967,3850,42,366,0
1001,120000,4,2,condo,0,1984,1452,13,225,130
1002,148500,3,1,single-family home,9147,1959,1000,17,328,0
1003,134900,2,2,townhouse,2300,1994,920,56,328,21
1004,265000,3,3,single-family home,13939,1998,2705,12,362,0
1005,149900,4,3,townhouse,2291,1999,1440,4,137,55
1006,429000,4,5,single-family home,7405,2017,2799,75,569,100
1007,309900,3,3,single-family home,15246,1986,2136,6,173,0
1008,69900,,,lot or land,8712,,,77,292,55
1009,169900,3,3,condo,0,2002,1342,73,594,185
1010,699900,5,6,single-family home,18295,2007,5955,75,100,0
1011,125000,4,2,condo,0,1984,1452,126,819,130
1012,444900,5,6,single-family home,28314,1961,5201,102,797,0
1013,178000,2,2,single-family home,11326,1964,1188,88,1040,0
1014,339900,3,3,single-family home,14375,1993,2003,82,918,0
1015,239000,3,3,single-family home,12197,1972,2210,84,1186,0
1016,182000,3,2,condo,7405,1945,1622,94,1176,0
1017,159900,3,1,single-family home,5662,1924,1584,103,532,0
1018,147750,2,2,condo,0,2000,1214,102,527,43
1019,209000,3,2,single-family home,9147,1966,1918,101,1078,0
1020,445000,5,4,single-family home,21780,2010,3504,19,69,100
1021,0,3,2.5,townhouse,1671,1994,1160,73,63,0
1022,294900,3,2,single-family home,30928,1978,3150,14,136,0
1023,159900,3,3,condo,0,2007,1306,81,246,185
1024,199900,3,1,single-family home,6936,1978,864,18,110,0
1025,1100000,3,2,single-family home,4356000,1970,2541,20,58,0
1026,175000,4,4,condo,0,2008,1396,12,92,243
1027,110000,,,lot or land,18731,,,6,156,0
1028,204900,3,3,condo,0,2007,1869,6,47,55
1029,172500,3,3,townhouse,0,2007,1384,3,67,300
1030,439000,5,4,single-family home,18731,2005,3819,17,109,0
1031,179900,4,2,single-family home,13068,1988,1237,17,226,46
1032,146900,2,3,condo,2178,2006,1276,3,51,50
1033,429000,5,4,single-family home,22651,2018,3145,12,122,0
1034,288388,3,3,townhouse,0,2018,2400,12,61,190
1035,299900,3,3,townhouse,0,2018,2490,12,19,190
